Unit Type,Unit Boundary Name,Name,StartPointX,StartPointY,EndPointX,EndPointY,Length
A,R0034,LIVING ROOM,-74.8766007,3.027352192,-62.23589101,3.027352192,12.64070969
A,R0035,LIVING ROOM,-62.23589101,3.027352192,-62.23589101,14.92318553,11.89583333
A,R0036,LIVING ROOM,-62.23589101,14.92318553,-67.23909934,14.92318553,5.003208333
A,R0037,LIVING ROOM,-67.23909934,14.92318553,-68.43901601,14.92318553,1.199916667
A,R0038,LIVING ROOM,-68.43901601,14.92318553,-73.37657094,14.92318553,4.937554932
A,R0039,LIVING ROOM,-73.37657094,14.92318553,-73.37657094,11.82943553,3.09375
A,R0040,LIVING ROOM,-73.37657094,11.82943553,-74.8766007,11.82943553,1.500029762
A,R0041,LIVING ROOM,-74.8766007,11.82943553,-74.8766007,3.027352192,8.802083333
A,R0042,BEDROOM 2,-88.51201737,-3.524731141,-75.27243404,-3.524731141,13.23958333
A,R0043,BEDROOM 2,-75.27243404,-3.524731141,-75.27243404,2.569018859,6.09375
A,R0044,BEDROOM 2,-75.27243404,2.569018859,-75.27243404,3.071018859,0.502
A,R0045,BEDROOM 2,-75.27243404,3.071018859,-75.27243404,11.82943553,8.758416667
A,R0046,BEDROOM 2,-75.27243404,11.82943553,-77.50157094,11.82943553,2.229136905
A,R0047,BEDROOM 2,-77.50157094,11.82943553,-77.50157094,15.22526886,3.395833333
A,R0048,BEDROOM 2,-77.50157094,15.22526886,-77.50157094,15.92318553,0.697916667
A,R0049,BEDROOM 2,-77.50157094,15.92318553,-82.2828507,15.92318553,4.781279762
A,R0050,BEDROOM 2,-82.2828507,15.92318553,-82.2828507,9.527352192,6.395833333
A,R0051,BEDROOM 2,-82.2828507,9.527352192,-88.51201737,9.527352192,6.229166667
A,R0052,BEDROOM 2,-88.51201737,9.527352192,-88.51201737,-3.524731141,13.05208333
A,R0053,BATHROOM 2,-80.31930904,21.81901886,-88.51201737,21.81901886,8.192708333
A,R0054,BATHROOM 2,-88.51201737,21.81901886,-88.51201737,16.31901886,5.5
A,R0055,BATHROOM 2,-88.51201737,16.31901886,-82.48076737,16.31901886,6.03125
A,R0056,BATHROOM 2,-82.48076737,16.31901886,-77.66823761,16.31901886,4.812529762
A,R0057,BATHROOM 2,-77.66823761,16.31901886,-77.66823761,18.62110219,2.302083333
A,R0058,BATHROOM 2,-77.66823761,18.62110219,-77.66823761,21.81901886,3.197916667
