UnitType,Name,Room Number,Area,Perimeter,CentroidX,CentroidY
A,LIVING ROOM,RN004,145.7310587,49.07308606,-68.37886176,8.835120359
A,BEDROOM 2,RN005,208.5160724,65.63541667,-81.46342461,4.616329578
A,BATHROOM 2,RN006,59.64078869,32.68755952,-83.09012749,19.06901886
A,CLOSET 2,RN007,35,23.66666667,-85.5953507,12.92318553
A,BEDROOM 1,RN008,148.4204044,55.96858061,-56.67148099,10.26467654
A,ENTRY,RN014,63.43938231,38.43760986,-71.67598464,19.61794071
A,KITCHEN,RN029,88.04386589,37.76549782,-64.06526837,20.78994991
A,CLOSET 1,RN030,19.5867279,17.74983061,-53.30885002,18.04297719
A,BATHROOM 1,RN031,45.71828418,27.62483061,-55.40780836,23.56901886
A,UTILITY,RN072,10,12.66666667,-75.43907094,20.31901886
A,HVAC,RN073,9.340277778,12.27083333,-75.43907094,13.62631053
B,ENTRY,RN052,58.98024924,36.06275435,-1.097530811,38.85425151
B,KITCHEN,RN053,99.7968125,40.12491504,7.225346696,38.37546469
B,LIVING ROOM,RN054,169.5000736,52.92684071,3.155251639,50.15493669
B,BEDROOM 1,RN055,158.4915745,58.30138829,-9.155476112,49.79629192
B,CLOSET 1,RN056,20.77683206,18.24983061,-12.29851805,41.30339386
B,BATHROOM 1,RN057,45.48911752,27.54149728,-10.34539305,35.77735219
B,BEDROOM 2,RN058,159.6117356,58.40561069,15.4266191,49.75479752
B,CLOSET 2,RN059,20.14322917,17.95833333,18.5608993,41.22526886
B,BATHROOM 2,RN060,45.60416667,27.58333333,16.60256596,35.77735219
B,HVAC,RN074,8.5,11.66666667,-4.39751873,42.18360219
B,UTILITY,RN075,8.795138889,11.89583333,-4.39751873,34.57943553
B2,BEDROOM 2,RN090,173.2848848,61.09884468,-8.916011306,10.38065387
B2,CLOSET 2,RN091,20.23423735,17.99994048,-12.29328225,18.11068553
B2,BATHROOM 2,RN092,45.60400298,27.58327381,-10.33494892,23.56901886
B2,BEDROOM 1,RN093,158.4943175,58.40602109,15.25451763,10.79564411
B2,CLOSET 1,RN094,20.77683206,18.24983061,18.56612022,18.04297719
B2,BATHROOM 1,RN095,45.48911752,27.54149728,16.61299522,23.56901886
B2,HVAC,RN096,8.5,11.66666667,10.6651209,17.16276886
B2,UTILITY,RN097,8.794337299,11.89577381,10.66377773,24.77570401
B2,LIVING ROOM,RN098,170.1604506,52.52096737,3.128547024,9.215071471
B2,KITCHEN,RN099,101.628268,40.44789123,-1.04029895,21.05549451
B2,ENTRY,RN100,59.91870725,36.09400435,7.288936941,20.55034622
B3,BEDROOM 1,RN101,186.0708262,64.32668442,119.6189293,-115.9731102
B3,CLOSET 1,RN102,20.77683206,18.24983061,109.7640541,-112.8528138
B3,BATHROOM 1,RN103,45.48911752,27.54149728,104.2380124,-114.8059388
B3,BEDROOM 2,RN104,187.1147818,64.32674015,119.5816875,-140.6002628
B3,CLOSET 2,RN105,20.234375,18,109.6963457,-143.7122311
B3,BATHROOM 2,RN106,45.60416667,27.58333333,104.2380124,-141.7538978
B3,UTILITY,RN107,8.795138889,11.89583333,103.0400957,-120.7538131
B3,HVAC,RN108,8.5,11.66666667,110.6442624,-120.7538131
B3,LIVING ROOM,RN109,170.1527354,52.51984518,118.5916792,-128.2903872
B3,KITCHEN,RN110,101.6274664,40.4478317,106.8363715,-132.4541683
B3,ENTRY,RN111,59.91870725,36.09400435,107.256685,-124.1299971
B4,BEDROOM 1,RN079,144.7000208,55.47847162,-79.14084977,49.11108619
B4,CLOSET 1,RN080,20.77683206,18.24983061,-82.29851805,41.30339386
B4,BATHROOM 1,RN081,45.48911752,27.54149728,-80.34539305,35.77735219
B4,BEDROOM 2,RN082,173.2825589,61.66081903,-54.562639,50.44046223
B4,CLOSET 2,RN083,20.234375,18,-51.4391007,41.23568553
B4,BATHROOM 2,RN084,45.60416667,27.58333333,-53.39743404,35.77735219
B4,HVAC,RN085,8.5,11.66666667,-74.39751873,42.18360219
B4,UTILITY,RN086,8.795138889,11.89583333,-74.39751873,34.57943553
B4,LIVING ROOM,RN087,170.1578611,52.91642405,-66.86094478,50.13120541
B4,KITCHEN,RN088,101.6274664,40.4478317,-62.69716353,38.37571134
B4,ENTRY,RN089,59.91870725,36.09400435,-71.02133478,38.79602483
C,LIVING ROOM,RN001,172.9798948,54.29651041,108.0996232,-274.2352387
C,KITCHEN,RN032,67.54542829,32.95954501,111.9620696,-262.4755337
C,ENTRY,RN033,55.02588389,36.48333272,104.6204847,-261.4413486
C,BEDROOM 2,RN034,144.7027571,55.50504236,96.82787504,-271.7225337
C,CLOSET 2,RN035,19.5867279,17.74983061,93.57648195,-263.9147051
C,BATHROOM 2,RN036,44.11411752,27.04149728,95.52960695,-258.3886634
C,BEDROOM 1,RN037,169.4530665,58.60284476,120.0789218,-272.8764507
C,BATHROOM 1,RN038,59.5078125,32.79166667,124.4237258,-262.3058526
C,CLOSET 1,RN039,13.73829076,14.83081958,118.555388,-260.373364
C,UTILITY,RN070,9.197533807,12.18758469,101.3495543,-257.2548526
C,HVAC,RN071,6.935763889,10.5625,101.3524813,-264.1542884
D,ENTRY,RN061,60.95424934,36.94812854,88.83996845,-24.11877298
D,KITCHEN,RN062,85.50595779,37.96870752,89.41523651,-16.80198052
D,LIVING ROOM,RN063,143.8168363,48.17736637,77.60780406,-20.91013387
D,BEDROOM 1,RN064,158.4946714,58.40613635,78.01060202,-32.22797814
D,CLOSET 1,RN065,19.58686057,17.74988635,86.50363739,-35.46746789
D,BATHROOM 1,RN066,44.1142708,27.04155302,92.02967906,-33.51434289
D,BEDROOM 2,RN067,157.8614889,58.69253894,77.98878392,-9.595726341
D,CLOSET 2,RN068,19.96492519,17.93744426,86.45155406,-6.347633874
D,BATHROOM 2,RN069,44.11443005,27.04161093,92.02967906,-8.305967207
D,HVAC,RN076,9.444444444,12.33333333,85.79009573,-27.69145463
D,UTILITY,RN077,9.208333333,12.1875,93.15467906,-27.69145463
D2,BEDROOM 1,RN112,157.8614889,58.58837228,77.98878392,-100.2245693
D2,CLOSET 1,RN113,19.96492519,17.93744426,86.45155406,-103.4726617
D2,BATHROOM 1,RN114,44.11443005,27.04161093,92.02967906,-101.5143284
D2,BEDROOM 2,RN115,172.6700514,61.53634468,77.31021492,-77.56994281
D2,CLOSET 2,RN116,19.58686057,17.74988635,86.50363739,-74.35282773
D2,BATHROOM 2,RN117,44.1142708,27.04155302,92.02967906,-76.30595273
D2,UTILITY,RN118,9.237847222,12.1875,85.75363739,-82.12884098
D2,HVAC,RN119,8.057291667,11.375,93.35780406,-82.12884098
D2,LIVING ROOM,RN120,143.8168363,48.17736637,77.60780406,-88.91016174
D2,KITCHEN,RN121,86.97740717,38.31251326,89.43281402,-93.11339994
D2,ENTRY,RN122,62.85708562,36.94812854,88.88599068,-85.6369211
D3,BEDROOM 1,RN123,185.8279336,64.35402856,-16.71828855,-272.2430713
D3,CLOSET 1,RN124,19.3751098,17.64696603,-13.30885002,-263.888989
D3,BATHROOM 1,RN125,44.11411752,27.04149728,-15.26197502,-258.3886634
D3,HVAC,RN126,7.585069444,11.02083333,-21.08484934,-264.2486895
D3,UTILITY,RN127,9.208333333,12.1875,-21.08484934,-257.2636634
D3,BEDROOM 2,RN128,185.7255025,64.17694523,-39.00385206,-272.2634515
D3,CLOSET 2,RN129,19.75397407,17.83463542,-42.42868404,-263.9410723
D3,BATHROOM 2,RN130,44.11458333,27.04166667,-40.4703507,-258.3886634
D3,LIVING ROOM,RN131,147.0104754,48.29585937,-27.87927941,-272.6740728
D3,KITCHEN,RN132,85.65123155,38.00130208,-32.24240582,-261.4716029
D3,ENTRY,RN133,59.60308061,36.37126314,-24.56908409,-261.2641983
D4,BEDROOM 1,RN134,171.6517357,61.09881681,-112.5455665,-1.531118982
D4,CLOSET 1,RN135,19.96506076,17.9375,-103.5573076,-5.848230277
D4,BATHROOM 1,RN136,44.11225389,27.04108582,-97.94144001,-3.772176326
D4,BEDROOM 2,RN137,144.7027394,55.47899728,-110.9126248,19.57025417
D4,CLOSET 2,RN138,19.5867279,17.74983061,-103.4673409,23.23418133
D4,BATHROOM 2,RN139,44.1117881,27.04091643,-97.85340141,21.15178973
D4,LIVING ROOM,RN140,147.1523825,48.47944971,-112.3526628,8.586349101
D4,ENTRY,RN141,61.24098356,36.44750521,-100.8146342,12.62411309
D4,KITCHEN,RN142,85.7026802,38.00868198,-100.674302,4.522854903
D4,HVAC,RN143,8.056468799,11.37441915,-96.56816894,15.50527439
D4,UTILITY,RN144,9.237847222,12.1875,-104.2537998,15.54694105
E,LIVING ROOM,RN002,147.3587284,48.5823177,-95.86619797,-272.6598231
E,BATHROOM 2,RN019,53.79640918,30.74462228,-110.2568514,-258.3886634
E,CLOSET 2,RN020,27.22341709,20.98029936,-112.2568514,-263.888989
E,BEDROOM 2,RN021,213.0030482,66.45816736,-108.5149553,-273.2516848
E,UTILITY,RN022,9.208333333,12.1875,-103.5537687,-257.2636634
E,HVAC,RN023,6.790039063,10.45963542,-103.5537687,-264.1285723
E,BEDROOM 1,RN024,171.8834058,61.30718143,-84.53733953,-273.1040752
E,CLOSET 1,RN025,19.75397407,17.83463542,-81.30368404,-263.9410723
E,BATHROOM 1,RN026,44.11458333,27.04166667,-83.26201737,-258.3886634
E,KITCHEN,RN027,85.12117513,37.66796875,-91.80834615,-260.8780534
E,ENTRY,RN028,63.90451968,37.28792981,-99.75589483,-261.3450677
F,KITCHEN,RN003,105.5629937,51.83206214,113.4921828,41.60914349
F,BEDROOM 1,RN009,174.7460655,61.05659662,96.97873355,50.20047753
F,BATHROOM 1,RN010,55.91620085,31.35399728,96.60252362,35.77735219
F,CLOSET 2,RN011,18.89626736,17.703125,125.3936268,44.10026886
F,BEDROOM 2,RN012,147.1881836,55.38356569,120.312361,51.18023688
F,LIVING ROOM,RN013,132.5922597,51.624632,107.525154,50.57452397
F,HVAC,RN015,8.130642361,11.41666667,108.0602935,37.26693553
F,CLOSET 1,RN016,25.09095967,20.06233061,94.15460695,41.30339386
F,BATHROOM 2,RN017,44.11458333,27.04166667,123.4352935,38.65235219
F,ENTRY,RN018,35.30863074,26.20729105,104.1411849,38.13386246
F,UTILITY,RN078,8.813368056,11.875,108.0602935,40.67318553
G,BEDROOM 2,RN041,157.7106427,58.38472217,-112.0116068,-81.96319315
G,CLOSET 2,RN042,19.87174479,17.89583333,-103.5435578,-78.71743947
G,BATHROOM 2,RN043,44,27,-97.97064113,-80.67056447
G,CLOSET 1,RN044,32.04664213,26.34736583,-104.0125104,-110.0036653
G,BATHROOM 1,RN045,53.13097317,34.31291146,-99.07901245,-103.70325
G,BEDROOM 1,RN046,152.7538587,54.8013331,-112.5653541,-104.5110011
G,UTILITY,RN047,8.650775233,11.79149728,-102.1891007,-100.5143568
G,HVAC,RN048,7.7914267,11.16649728,-105.5745174,-100.5143568
G,KITCHEN,RN049,88.22661078,38.21870752,-100.3979982,-89.36232053
G,ENTRY,RN050,54.20429965,31.11537605,-101.6358536,-96.17136191
G,LIVING ROOM,RN051,138.1284099,47.04136886,-112.4183306,-92.98670641
